english,telugu
A vibrant city with a rich cultural heritage and a thriving economy.,గొప్ప సాంస్కృతిక వారసత్వం మరియు అభివృద్ధి చెందుతున్న ఆర్థిక వ్యవస్థతో శక్తివంతమైన నగరం.
It was eighty meters long.,ఇది ఎనభై మీటర్ల పొడవు.
I just got here this morning.,నేను ఈ ఉదయం ఇక్కడకు వచ్చాను.
He didn't get caught.,అతను చిక్కుకోలేదు.
"Hopefully, we'll see Tom today.","ఆశాజనక, మేము ఈ రోజు టామ్‌ను చూస్తాము."
Japan is subject to earthquakes.,జపాన్ భూకంపాలకు లోబడి ఉంది.
Please do something about it.,దయచేసి దాని గురించి ఏదైనా చేయండి.
Tom doesn't want to go there alone.,టామ్ ఒంటరిగా అక్కడికి వెళ్లడం ఇష్టం లేదు.
I want to apologize for everything I said.,నేను చెప్పిన ప్రతిదానికీ క్షమాపణ చెప్పాలనుకుంటున్నాను.
He is the oldest of them all.,వాటన్నిటిలో ఆయన పెద్దవాడు.
Tom asked me how many countries I'd visited.,నేను ఎన్ని దేశాలను సందర్శించాను అని టామ్ నన్ను అడిగాడు.
I know that Tom was first.,టామ్ మొదటివాడు అని నాకు తెలుసు.
You're the perfect girlfriend.,నువ్వు పరిపూర్ణ స్నేహితురాలు.
How do I know you didn't do it?,మీరు దీన్ని చేయలేదని నాకు ఎలా తెలుసు?
Mary doesn't want to end up being an old maid.,మేరీ పాత పనిమనిషిగా ఉండటానికి ఇష్టపడదు.
I didn't know you'd be jealous.,మీరు అసూయపడతారని నాకు తెలియదు.
I met him just as he was coming out of school.,అతను పాఠశాల నుండి బయటకు వస్తున్నప్పుడే నేను అతనిని కలుసుకున్నాను.
Did you really dream about me?,మీరు నిజంగా నా గురించి కలలు కన్నారా?
Is that tall man this boy's father?,ఆ పొడవైన మనిషి ఈ అబ్బాయి తండ్రి?
Let's not start a fight.,పోరాటం ప్రారంభించనివ్వండి.
All the children like you.,పిల్లలందరూ మీకు ఇష్టం.
How are you,మీరు ఎలా ఉన్నారు
great movie,గొప్ప సినిమా
Has Tom officially retired?,టామ్ అధికారికంగా పదవీ విరమణ పొందారా?
Very very good,చాలా చాలా మంచిది
Tom told Mary to tell the truth.,టామ్ మేరీకి నిజం చెప్పమని చెప్పాడు.
I'll go if you will.,మీరు కోరుకుంటే నేను వెళ్తాను.
I'll arrive on October 20th.,నేను అక్టోబర్ 20 న వస్తాను.
Tom doesn't want to do his homework right now.,టామ్ ప్రస్తుతం తన ఇంటి పని చేయాలనుకోవడం లేదు.
Where are you going,మీరు ఎక్కడికి వెళుతున్నారు
I'm a very lucky man.,నేను చాలా అదృష్టవంతుడిని.
Can she come in time?,ఆమె సమయానికి రాగలదా?
Do you know this part of the city very well?,నగరంలోని ఈ భాగం మీకు బాగా తెలుసా?
"A group of foreigners arrived in Edo, in other words Tokyo.","విదేశీయుల బృందం ఎడోకు చేరుకుంది, మరో మాటలో చెప్పాలంటే టోక్యో."
Tom will need to do that sooner or later.,టామ్ త్వరగా లేదా తరువాత చేయవలసి ఉంటుంది.
Her predictions have come true.,ఆమె అంచనాలు నిజమయ్యాయి.
My grandfather has gray hair.,నా తాతకు బూడిద జుట్టు ఉంది.
I've never been to Australia.,నేను ఎప్పుడూ ఆస్ట్రేలియాకు వెళ్ళలేదు.
He came back home a while ago.,అతను కొద్దిసేపటి క్రితం ఇంటికి తిరిగి వచ్చాడు.
"Cloudy, rainy,sunny","మేఘావృతం, వర్షం, ఎండ"
I've already spoken to Tom about that.,నేను ఇప్పటికే టామ్‌తో దాని గురించి మాట్లాడాను.
Tom switched off the dryer.,టామ్ డ్రైయర్‌ను స్విచ్ ఆఫ్ చేశాడు.
Tom doesn't like competition.,టామ్‌కు పోటీ నచ్చలేదు.
Tom wants Mary and I to do that by ourselves.,టామ్ మేరీ మరియు నేను మనమే చేయాలని కోరుకుంటున్నాను.
Tom and Mary said they'd be a bit late.,టామ్ మరియు మేరీ కొంచెం ఆలస్యం అవుతారని చెప్పారు.
I don't know what you want me to do.,నేను ఏమి చేయాలనుకుంటున్నానో నాకు తెలియదు.
I have nothing to do this afternoon.,ఈ మధ్యాహ్నం నాకు ఏమీ లేదు.
She told me you were sick.,మీరు అనారోగ్యంతో ఉన్నారని ఆమె నాకు చెప్పారు.
I am a monk.,నేను సన్యాసిని.
Everybody knows that he is honest.,అతను నిజాయితీపరుడని అందరికీ తెలుసు.
Tom left his hat in my room.,టామ్ తన టోపీని నా గదిలో వదిలేశాడు.
Gangadhar lives with his family.,గంగాధర్ కుటుంబంతో కలిసి ఉంటున్నాడు.
It caught my eye.,ఇది నా దృష్టిని ఆకర్షించింది.
I think what you did was a mistake.,మీరు చేసినది పొరపాటు అని నేను అనుకుంటున్నాను.
You're an excellent writer.,మీరు అద్భుతమైన రచయిత.
They were all actors.,వారంతా నటులు.
How many English words do you know?,మీకు ఎన్ని ఆంగ్ల పదాలు తెలుసు?
Tom is in the prime of his life.,టామ్ తన జీవితంలో ప్రధానంగా ఉన్నాడు.
I have no time left.,నాకు సమయం లేదు.
The only spice Tom puts on meat is pepper.,టామ్ మాంసం మీద ఉంచే మసాలా మిరియాలు మాత్రమే.
Don't you watch movies?,మీరు సినిమాలు చూడలేదా?
He dug a hole in the garden.,అతను తోటలో ఒక రంధ్రం తవ్వించాడు.
Give a thief enough rope and he'll hang himself.,ఒక దొంగకు తగినంత తాడు ఇవ్వండి మరియు అతను ఉరి వేసుకుంటాడు.
Tom swore he wouldn't do that.,టామ్ తాను అలా చేయనని ప్రమాణం చేశాడు.
Tom's handwriting is unreadable.,టామ్ చేతివ్రాత చదవలేనిది.
I let him get the credit.,నేను అతనిని క్రెడిట్ పొందటానికి అనుమతించాను.
Why pay when you can get it for free?,మీరు ఉచితంగా పొందగలిగినప్పుడు ఎందుకు చెల్లించాలి?
Tom says Mary often eats bananas.,మేరీ తరచుగా అరటిపండ్లు తింటున్నట్లు టామ్ చెప్పారు.
Tom's sister paved the way for him to become a lawyer.,టామ్ సోదరి అతనికి న్యాయవాదిగా మారడానికి మార్గం సుగమం చేసింది.
Tom didn't want to admit he was scared.,టామ్ తాను భయపడ్డానని ఒప్పుకోవటానికి ఇష్టపడలేదు.
"You'll be on time, won't you?","మీరు సమయానికి వస్తారు, కాదా?"
I just need to blow off some steam.,నేను కొన్ని ఆవిరిని పేల్చివేయాలి.
Cricket player from Chennai,చెన్నైకి చెందిన క్రికెట్ ప్లేయర్
Tom put on his black suit and white tie.,టామ్ తన బ్లాక్ సూట్ మరియు వైట్ టై ధరించాడు.
Tom asked Mary to wait for him here.,టామ్ మేరీని ఇక్కడ తన కోసం వేచి ఉండమని కోరాడు.
Are you going or not?,మీరు వెళ్తున్నారా లేదా?
You shouldn't trust anything Tom says.,టామ్ చెప్పిన దేన్నీ మీరు నమ్మకూడదు.
Strange things happened that night.,ఆ రాత్రి వింతైన విషయాలు జరిగాయి.
It's going to be a long trip.,ఇది సుదీర్ఘ యాత్ర కానుంది.
I want you to put out that cigarette.,మీరు ఆ సిగరెట్ బయట పెట్టాలని నేను కోరుకుంటున్నాను.
She wanted him to say that he loved her.,అతను తనను ప్రేమిస్తున్నాడని అతను చెప్పాలని ఆమె కోరుకుంది.
"S. P. B sang over 40,000 songs in various languages and was one of the most versatile and popular singers of his time.","S. P. B వివిధ భాషలలో 40,000 పాటలు పాడారు మరియు అతని కాలంలోని అత్యంత బహుముఖ మరియు ప్రసిద్ధ గాయకులలో ఒకరు."
She knows nothing about your family.,మీ కుటుంబం గురించి ఆమెకు ఏమీ తెలియదు.
Tom was stupid enough to challenge Mary to a game of chess.,"టామ్ తెలివితక్కువవాడు, చెస్ ఆటకు మేరీని సవాలు చేసేవాడు."
You're my boss.,నువ్వు నా బాస్.
President Monroe was a slave-owner.,అధ్యక్షుడు మన్రో బానిస యజమాని.
He goes fishing every other day.,అతను ప్రతిరోజూ చేపలు పట్టడానికి వెళ్తాడు.
Tom was the only one not sitting.,టామ్ మాత్రమే కూర్చోలేదు.
Where can I exchange foreign currency?,నేను విదేశీ కరెన్సీని ఎక్కడ మార్పిడి చేసుకోగలను?
Which umbrella is yours?,ఏ గొడుగు మీది?
I've burnt the toast.,నేను తాగడానికి కాల్చాను.
Tom and I are planning on getting married on October 20th.,టామ్ మరియు నేను అక్టోబర్ 20 న వివాహం చేసుకోవాలని యోచిస్తున్నాము.
I threw the ball.,నేను బంతిని విసిరాను.
Why did that have to happen to us?,అది మనకు ఎందుకు జరగాలి?
How much money do you think Tom makes?,టామ్ ఎంత డబ్బు సంపాదించాడని మీరు అనుకుంటున్నారు?
He must be a good walker to have walked such a long distance.,ఇంత దూరం నడవడానికి అతను మంచి వాకర్ అయి ఉండాలి.
Tom refused to help Mary.,టామ్ మేరీకి సహాయం చేయడానికి నిరాకరించాడు.
Why did you want to speak to me?,మీరు నాతో ఎందుకు మాట్లాడాలనుకున్నారు?
I've been expecting your call.,నేను మీ కాల్‌ను ఆశిస్తున్నాను.
Please accept my apology.,దయచేసి నా క్షమాపణను అంగీకరించండి.
Tom wants to end this.,టామ్ దీనిని అంతం చేయాలనుకుంటున్నాడు.
Maybe we should stop at a gas station to ask for directions.,ఆదేశాలు అడగడానికి మనం గ్యాస్ స్టేషన్ వద్ద ఆగాలి.
Several ships are stuck in sea ice in Antarctica.,అంటార్కిటికాలో అనేక నౌకలు సముద్రపు మంచులో చిక్కుకున్నాయి.
Tom put the map on the table.,టామ్ మ్యాప్‌ను టేబుల్‌పై ఉంచాడు.
Where are you located?,మీరు ఎక్కడ ఉన్నారు?
Would you like a glass of water?,మీరు ఒక గ్లాసు నీరు కావాలనుకుంటున్నారా?
I used to be poor like you.,నేను మీలాగే పేదవాడిని.
It's always darkest before the dawn.,తెల్లవారేముందు ఎప్పుడూ చీకటిగానే ఉంటుంది.
The rice crop is poor this year.,ఈ సంవత్సరం వరి పంట పేలవంగా ఉంది.
I told Tom you'd wait.,నేను వేచి ఉండాలని టామ్ కి చెప్పాను.
It could be a weapon.,ఇది ఆయుధం కావచ్చు.
I'm not strong enough to do that.,నేను అలా చేయటానికి బలంగా లేను.
She's the French ambassador to Portugal.,ఆమె పోర్చుగల్‌లోని ఫ్రెంచ్ రాయబారి.
It  is one of the most visited pilgrimage sites in the world.,ప్రపంచంలో అత్యధికంగా సందర్శించే తీర్థయాత్రలలో ఇది ఒకటి.
Tom doesn't want to leave.,టామ్ వదిలి వెళ్ళడం ఇష్టం లేదు.
How many people know about this?,దీని గురించి ఎంత మందికి తెలుసు?
The worst is behind us.,చెత్త మన వెనుక ఉంది.
ram kills ravana.,రాముడు రావణుడిని చంపాడు.
"Rajinikanth is a popular Indian actor who has worked in Tamil, Telugu, Hindi, Kannada, and other Indian languages films.","రజనీకాంత్ తమిళం, తెలుగు, హిందీ, కన్నడ మరియు ఇతర భారతీయ భాషల చిత్రాలలో పనిచేసిన ప్రముఖ భారతీయ నటుడు."
Tom is between jobs.,టామ్ ఉద్యోగాల మధ్య ఉన్నాడు.
He was wearing a tuxedo.,అతను తక్సేడో ధరించాడు.
Today is my sixteenth birthday.,ఈ రోజు నా పదహారవ పుట్టినరోజు.
This doesn't happen very often.,ఇది చాలా తరచుగా జరగదు.
Why are you yawning?,మీరు ఎందుకు ఆవలిస్తున్నారు?
Tom let me stay with Mary.,టామ్ నన్ను మేరీతో కలిసి ఉండనివ్వండి.
Don't ruin our fun.,మా సరదాని నాశనం చేయవద్దు.
I need to go to the bank.,నేను బ్యాంకుకు వెళ్లాలి.
Tom's death was mysterious.,టామ్ మరణం మర్మమైనది.
"You've never had a boyfriend, have you?","మీకు ఎప్పుడూ బాయ్‌ఫ్రెండ్ లేరు, లేదా?"
About how much will it cost?,దీని ధర ఎంత?
singers,గాయకులు
It's happening too fast.,ఇది చాలా వేగంగా జరుగుతోంది.
I am not a foodie.,నేను భోజనప్రియుడిని కాదు.
I'm not going to tell Tom anything.,నేను టామ్‌కు ఏమీ చెప్పను.
Tom showed Mary the scar on his leg.,టామ్ మేరీకి తన కాలు మీద ఉన్న మచ్చను చూపించాడు.
Both boys and girls should take cooking class in school.,బాలురు మరియు బాలికలు ఇద్దరూ పాఠశాలలో వంట తరగతి తీసుకోవాలి.
Tom and Mary understood each other.,టామ్ మరియు మేరీ ఒకరినొకరు అర్థం చేసుకున్నారు.
I got up at 8 o'clock today.,నేను ఈ రోజు 8 గంటలకు లేచాను.
We're a little early.,మేము కొంచెం ముందుగానే ఉన్నాము.
I don't care what will become of me.,నాలో ఏమి జరుగుతుందో నేను పట్టించుకోను.
Please keep this a secret.,దయచేసి దీన్ని రహస్యంగా ఉంచండి.
We're running short of food.,మేము ఆహారం తక్కువగా ఉన్నాము.
Hot climate,వేడి వాతావరణం
"You live here alone, don't you?","మీరు ఇక్కడ ఒంటరిగా నివసిస్తున్నారు, లేదా?"
Free books available,ఉచిత పుస్తకాలు అందుబాటులో ఉన్నాయి
Owls hunt at night.,గుడ్లగూబలు రాత్రి వేటాడతాయి.
"You saw them, didn't you?","మీరు వాటిని చూశారు, లేదా?"
Tom and Mary are planning to get a divorce.,టామ్ మరియు మేరీ విడాకులు తీసుకోవాలని యోచిస్తున్నారు.
They are going to send up a rocket.,వారు రాకెట్ పంపబోతున్నారు.
Tom has written down a list of things we need to do.,టామ్ మనం చేయవలసిన పనుల జాబితాను వ్రాశాడు.
She wrapped her arms around his neck.,ఆమె అతని చేతులను అతని మెడలో చుట్టింది.
Tom says Mary wasn't at the meeting.,ఈ సమావేశంలో మేరీ లేడని టామ్ చెప్పారు.
When are we going to use it?,మేము దానిని ఎప్పుడు ఉపయోగించబోతున్నాం?
Could you tell me where Tom is?,టామ్ ఎక్కడ ఉన్నారో మీరు నాకు చెప్పగలరా?
I'd like to introduce Tom to Mary.,నేను టామ్‌ను మేరీకి పరిచయం చేయాలనుకుంటున్నాను.
Does that window open?,ఆ విండో తెరుచుకుంటుందా?
Tom is probably still hiding.,టామ్ బహుశా ఇప్పటికీ దాక్కున్నాడు.
Let's not fool ourselves.,మనల్ని మనం మోసం చేసుకోనివ్వండి.
We've been helping Tom.,మేము టామ్‌కు సహాయం చేస్తున్నాము.
The party finished at nine.,పార్టీ తొమ్మిదికి ముగిసింది.
Would you please pour me a cup of coffee?,దయచేసి నాకు ఒక కప్పు కాఫీ పోయాలా?
It's obsolete.,ఇది వాడుకలో లేదు.
You were almost in time.,మీరు దాదాపు సమయం లో ఉన్నారు.
It just won't work.,ఇది పనిచేయదు.
I know how it feels.,ఇది ఎలా అనిపిస్తుందో నాకు తెలుసు.
I demand that he be punished.,అతన్ని శిక్షించాలని నేను కోరుతున్నాను.
Tom taught me to play chess.,టామ్ నాకు చెస్ ఆడటం నేర్పించాడు.
Tom didn't need to explain it to me.,టామ్ దానిని నాకు వివరించాల్సిన అవసరం లేదు.
This will take some time.,దీనికి కొంత సమయం పడుతుంది.
How many times a year do you go skiing?,సంవత్సరానికి ఎన్నిసార్లు మీరు స్కీయింగ్‌కు వెళతారు?
Tom and Mary left alone.,టామ్ మరియు మేరీ ఒంటరిగా ఉన్నారు.
Tom continued digging.,టామ్ తవ్వడం కొనసాగించాడు.
Whales feed on small fish.,తిమింగలాలు చిన్న చేపలను తింటాయి.
I helped.,నేను సహాయం చేసాను.
"Shortly after the accident, the police came.",ప్రమాదం జరిగిన కొద్దిసేపటికే పోలీసులు వచ్చారు.
Is it OK if I eat one of these apples?,నేను ఈ ఆపిల్ల ఒకటి తింటే సరేనా?
Tom can't even write his own name yet.,టామ్ ఇంకా తన పేరును కూడా వ్రాయలేడు.
They're green.,అవి ఆకుపచ్చగా ఉన్నాయి.
Mary is Tom's daughter-in-law.,మేరీ టామ్ యొక్క అల్లుడు.
She drives an imported car.,ఆమె దిగుమతి చేసుకున్న కారును నడుపుతుంది.
Tom wanted me to do that for him.,టామ్ నేను అతని కోసం అలా చేయాలనుకున్నాను.
She is learning how to drive a car.,ఆమె కారు నడపడం నేర్చుకుంటుంది.
"It is a prime residential area that is known for its upscale homes, restaurants, and shopping centers.","ఇది ఉన్నత స్థాయి గృహాలు, రెస్టారెంట్లు మరియు షాపింగ్ కేంద్రాలకు ప్రసిద్ధి చెందిన ప్రధాన నివాస ప్రాంతం."
Let's leave as soon as he gets back.,అతను తిరిగి రాగానే బయలుదేరదాం.
I know you can't wait.,మీరు వేచి ఉండలేరని నాకు తెలుసు.
That man is dead.,ఆ మనిషి చనిపోయాడు.
What is the best concert you've ever been to?,మీరు ఇప్పటివరకు చేసిన ఉత్తమ కచేరీ ఏమిటి?
Tom stomped his foot angrily.,టామ్ కోపంగా తన పాదాన్ని కొట్టాడు.
I slept late and I missed the first train.,నేను ఆలస్యంగా నిద్రపోయాను మరియు నేను మొదటి రైలును కోల్పోయాను.
I didn't know Tom was at home.,టామ్ ఇంట్లో ఉన్నట్లు నాకు తెలియదు.
Tom looked both ways before crossing the road.,టామ్ రోడ్డు దాటడానికి ముందు రెండు మార్గాలు చూశాడు.
I don't think that Tom knows the rules yet.,టామ్‌కు ఇంకా నియమాలు తెలుసని నేను అనుకోను.
Tom is seldom home.,టామ్ చాలా అరుదుగా ఇంట్లోనే ఉంటాడు.
Telugu is known as italian of the east.,తెలుగును ఇటాలియన్ ఆఫ్ ది ఈస్ట్ అని పిలుస్తారు.
There's the bell.,గంట ఉంది.
Are you still interested in working for us?,మా కోసం పనిచేయడానికి మీకు ఇంకా ఆసక్తి ఉందా?
actor,నటుడు
"Whether you believe it or not, I want to get this thing over with as much as you do.","మీరు నమ్మినా, చేయకపోయినా, నేను మీరు చేసినంత మాత్రాన ఈ విషయాన్ని పొందాలనుకుంటున్నాను."
I heard that he left town and moved east.,అతను పట్టణం వదిలి తూర్పుకు వెళ్ళాడని నేను విన్నాను.
Tom thinks we're dead.,మేము చనిపోయామని టామ్ భావిస్తాడు.
Tom is sleeping in the living room.,టామ్ లివింగ్ రూమ్‌లో నిద్రిస్తున్నాడు.
We were eating apples.,మేము ఆపిల్ల తింటున్నాము.
Tom said you were busy.,టామ్ మీరు బిజీగా ఉన్నారని చెప్పారు.
Tom shouted at us in a gruff voice.,టామ్ చిరాకు గొంతులో మా వైపు అరిచాడు.
Tom can't afford to buy a yacht.,టామ్ ఒక పడవ కొనడానికి భరించలేడు.
The customer is not always right.,కస్టమర్ ఎల్లప్పుడూ సరైనది కాదు.
The water was ice cold.,నీరు మంచు చల్లగా ఉంది.
You've probably forgotten about it already.,మీరు ఇప్పటికే దాని గురించి మరచిపోయారు.
Turn it off.,దాన్ని ఆపివేయండి.
We don't know where they are now.,వారు ఇప్పుడు ఎక్కడ ఉన్నారో మాకు తెలియదు.
They traveled together.,వారు కలిసి ప్రయాణించారు.
Swami Vivekananda was a disciple of the great Indian saint.,స్వామి వివేకానంద గొప్ప భారతీయ సాధువు శిష్యుడు.
I was in Boston last winter.,నేను గత శీతాకాలంలో బోస్టన్‌లో ఉన్నాను.
Tom hit the ball so hard he split the bat.,"టామ్ బంతిని గట్టిగా కొట్టాడు, అతను బ్యాట్ను విభజించాడు."
Tom wasn't smiling when he entered the room.,గదిలోకి ప్రవేశించినప్పుడు టామ్ నవ్వలేదు.
Sister,సోదరి
Enjoy yourself.,సంతోషంగా ఉండు.
Can you tell us what it is?,అది ఏమిటో మాకు చెప్పగలరా?
I wonder whether or not Tom likes Boston.,టామ్ బోస్టన్‌ను ఇష్టపడుతున్నాడా లేదా అని నేను ఆశ్చర్యపోతున్నాను.
I was very excited.,నేను చాలా ఉత్సాహంగా ఉన్నాను.
Tom visited Mary.,టామ్ మేరీని సందర్శించాడు.
Tom certainly knew about the problem.,టామ్ ఖచ్చితంగా సమస్య గురించి తెలుసు.
Don't Tom and Mary work together?,టామ్ మరియు మేరీ కలిసి పనిచేయలేదా?
Easy language telugu,సులభమైన భాష తెలుగు
You and I should stick together.,మీరు మరియు నేను కలిసి ఉండాలి.
I want to wash my hair.,నేను నా జుట్టు కడగాలి.
Sunil is an ultimate comedian.,సునీల్ అంతిమ హాస్యనటుడు.
What are you planning on doing?,మీరు ఏమి చేయాలనుకుంటున్నారు?
"If you want quality, pay for it.","మీకు నాణ్యత కావాలంటే, దాని కోసం చెల్లించండి."
Why didn't you tell me all this before?,ఇవన్నీ మీరు ఇంతకు ముందు ఎందుకు నాకు చెప్పలేదు?
Native house,స్థానిక ఇల్లు
Meeting Tom was quite an experience for me.,టామ్‌ను కలవడం నాకు చాలా అనుభవం.
It must've been terrible.,ఇది భయంకరమైనది.
Shreya Ghoshal is a very popular and talented Indian playback singer.,శ్రేయా ఘోషల్ చాలా ప్రజాదరణ పొందిన మరియు ప్రతిభావంతులైన భారతీయ నేపథ్య గాయని.
It's likely a mistake.,ఇది పొరపాటు.
That was an experience.,అది ఒక అనుభవం.
We all want to be liked.,మనమందరం ఇష్టపడాలని కోరుకుంటున్నాము.
I like honey.,నాకు తేనె అంటే ఇష్టం.
